Time (h),Load (kW)
0.086459165,33.63579583
0.295929769,32.40449009
0.503591381,28.37711232
0.98754988,26.40861931
1.212130886,23.53273882
2.180739558,20.66483917
2.486565576,18.36548805
2.728917265,17.95690343
3.035434956,16.72663868
4.441447193,14.9325098
4.9264166,14.52652764
5.023889332,15.18546792
5.946102687,15.60654429
6.319819101,18.24213193
6.805267358,18.57628648
7.016759777,20.47000243
7.954615589,20.06887817
8.294546422,20.48370866
8.76339452,20.15979042
9.03953179,21.97196294
9.961053472,21.32395295
10.20425645,22.23116694
10.68943868,22.15413443
10.91630753,22.81446268
11.8868316,22.90710989
12.16217079,23.48572123
12.53418462,23.48971165
12.85783453,23.73989382
13.86076084,23.91512544
14.05522745,24.49286929
14.58919926,24.82754433
14.76775738,25.81630175
15.75461559,26.15583469
16.01489758,28.4612582
16.50055866,29.1243624
16.6801809,31.75786807
17.82894387,32.34584823
17.89412078,33.08667893
18.52529928,33.66910719
18.75137005,33.09587425
19.78643256,32.94250321
20.02952913,33.68524237
20.38536845,33.6890593
20.61101357,32.45792706
21.61372706,32.30420903
21.85405693,28.77060273
22.30710295,29.02217287
22.59451982,23.26867691
22.96658686,23.35490475
